Park Area,Year,Month,Day,Nest Count,Month as a Number
Brackley-Dalvay,2009,Jul,29,16,7
Brackley-Dalvay,2009,Jul,29,23,7
Brackley-Dalvay,2009,Jul,29,11,7
Brackley-Dalvay,2009,Jul,29,18,7
Brackley-Dalvay,2009,Jul,29,25,7
Brackley-Dalvay,2009,Jul,30,17,7
Brackley-Dalvay,2009,Jul,30,28,7
Brackley-Dalvay,2009,Jul,30,23,7
Brackley-Dalvay,2009,Aug,3,85,8
Brackley-Dalvay,2009,Aug,3,93,8
Brackley-Dalvay,2009,Jul,29,97,7
Brackley-Dalvay,2009,Jul,29,55,7
Brackley-Dalvay,2009,Jul,29,29,7
Brackley-Dalvay,2009,Jul,29,83,7
Brackley-Dalvay,2009,Jul,29,63,7
Brackley-Dalvay,2009,Jul,31,84,7
Brackley-Dalvay,2009,Aug,3,0,8
Brackley-Dalvay,2009,Aug,3,0,8
Brackley-Dalvay,2009,Aug,3,0,8
Brackley-Dalvay,2009,Aug,3,0,8
Brackley-Dalvay,2009,Jul,29,0,7
Cavendish,2009,Jul,29,125,7
Cavendish,2009,Jul,29,107,7
Cavendish,2009,Jul,29,147,7
Cavendish,2009,Jul,29,143,7
Cavendish,2009,Jul,29,130,7
Cavendish,2009,Jul,29,216,7
Cavendish,2009,Jul,29,185,7
Cavendish,2009,Jul,29,216,7
Cavendish,2009,Jul,29,257,7
Cavendish,2009,Jul,29,288,7
Cavendish,2009,Jul,29,269,7
Cavendish,2009,Jul,29,216,7
Cavendish,2009,Jul,29,258,7
Cavendish,2009,Jul,29,246,7
Cavendish,2009,Jul,29,248,7
Cavendish,2010,Sep,1,8,9
Cavendish,2010,Sep,1,10,9
Cavendish,2010,Sep,1,20,9
Cavendish,2010,Sep,1,21,9
Cavendish,2010,Sep,1,150,9
Cavendish,2010,Sep,1,170,9
Cavendish,2010,Sep,1,138,9
Cavendish,2010,Sep,1,154,9
Cavendish,2010,Sep,1,19,9
Cavendish,2010,Sep,1,9,9
Cavendish,2010,Sep,1,32,9
Cavendish,2010,Sep,1,28,9
Cavendish,2010,Sep,1,23,9
Cavendish,2010,Sep,1,26,9
Cavendish,2010,Sep,1,34,9
Cavendish,2010,Sep,1,23,9
Cavendish,2010,Sep,1,3,9
Cavendish,2010,Sep,1,0,9
Cavendish,2010,Sep,1,14,9
Cavendish,2010,Sep,1,4,9
Cavendish,2010,Sep,1,0,9
Cavendish,2010,Sep,1,1,9
Cavendish,2010,Sep,1,0,9
Cavendish,2010,Sep,1,0,9
