Location,Year,Latitude,Longitude,Month In,Day In,White Perch,American Eel,Gaspereau,Banded Killifish,Mummichog,4 Spine Stickleback,3 Spine Stickleback,Brook Trout,Brook Stickleback,9 Spine Stickleback,Rainbow Smelt,Rainbow Trout,New Longitude,Month as a Number
Lake of Shining Waters,2009,46.49781,-63.38838,August,10,0,0,67,0,1,0,0,0,0,0,0,0,-63.38838,8
Lake of Shining Waters,2009,46.49781,-63.38838,August,10,0,0,0,0,0,0,0,0,0,0,0,0,-63.38838,8
Lake of Shining Waters,2009,46.49713,-63.38818,August,10,0,0,0,769,0,0,0,0,0,0,0,0,-63.38818,8
Lake of Shining Waters,2009,46.49713,-63.38818,August,10,0,0,0,0,0,3,0,0,0,0,0,0,-63.38818,8
Lake of Shining Waters,2009,46.49558,-63.38704,August,10,3,5,0,27,0,0,1,0,0,0,0,0,-63.38704,8
Lake of Shining Waters,2009,46.49558,-63.38704,August,10,0,0,0,0,0,0,0,0,0,0,0,0,-63.38704,8
Lake of Shining Waters,2009,46.49515,-63.38608,August,10,0,1,2,17,0,0,0,0,0,0,0,0,-63.38608,8
Lake of Shining Waters,2009,46.49515,-63.38608,August,10,0,0,0,1,0,3,0,0,0,0,0,0,-63.38608,8
Lake of Shining Waters,2009,46.49636,-63.38956,August,10,7,0,493,109,0,0,0,0,0,0,0,0,-63.38956,8
Lake of Shining Waters,2009,46.49636,-63.38956,August,10,0,0,0,0,0,0,0,0,0,0,0,0,-63.38956,8
Lake of Shining Waters,2009,46.49495,-63.38853,August,10,1,5,7,200,0,0,0,0,0,0,0,0,-63.38853,8
Lake of Shining Waters,2009,46.49495,-63.38853,August,10,0,0,0,0,0,3,0,0,0,0,0,0,-63.38853,8
Lake of Shining Waters,2009,46.49338,-63.38592,August,10,0,2,1,39,0,0,0,0,0,0,0,0,-63.38592,8
Lake of Shining Waters,2009,46.49338,-63.38592,August,10,0,0,0,0,0,3,0,0,0,0,0,0,-63.38592,8
Lake of Shining Waters,2009,46.49293,-63.38541,August,10,0,0,5,94,0,1,0,0,0,0,0,0,-63.38541,8
Lake of Shining Waters,2009,46.49293,-63.38541,August,10,0,0,0,0,0,15,0,0,0,0,0,0,-63.38541,8
Lake of Shining Waters,2009,46.49285,-63.38413,August,10,1,0,194,25,17,0,1,0,0,0,0,0,-63.38413,8
Lake of Shining Waters,2009,46.49285,-63.38413,August,10,0,0,0,0,0,0,0,0,0,0,0,0,-63.38413,8
Lake of Shining Waters,2009,46.49781,-63.38838,August,11,0,1,16,51,0,0,0,0,0,0,0,0,-63.38838,8
Lake of Shining Waters,2009,46.49781,-63.38838,August,11,0,0,0,0,0,0,0,0,0,0,0,0,-63.38838,8
Lake of Shining Waters,2009,46.49713,-63.38818,August,11,0,1,0,797,0,1,0,0,0,0,0,0,-63.38818,8
Lake of Shining Waters,2009,46.49713,-63.38818,August,11,0,0,0,0,0,4,0,0,0,0,0,0,-63.38818,8
Lake of Shining Waters,2009,46.49558,-63.38704,August,11,1,4,1,1,0,0,0,0,0,0,0,0,-63.38704,8
Lake of Shining Waters,2009,46.49558,-63.38704,August,11,0,0,0,0,0,0,0,0,0,0,0,0,-63.38704,8
Lake of Shining Waters,2009,46.49515,-63.38608,August,11,12,0,0,21,0,1,0,0,0,0,0,0,-63.38608,8
Lake of Shining Waters,2009,46.49515,-63.38608,August,11,0,1,0,9,0,1,0,0,0,0,0,0,-63.38608,8
Lake of Shining Waters,2009,46.49636,-63.38956,August,11,0,2,1,1,0,1,0,0,0,0,0,0,-63.38956,8
Lake of Shining Waters,2009,46.49636,-63.38956,August,11,0,0,0,0,0,0,0,0,0,0,0,0,-63.38956,8
Lake of Shining Waters,2009,46.49495,-63.38853,August,11,0,1,62,38,0,0,0,0,0,0,0,0,-63.38853,8
Lake of Shining Waters,2009,46.49495,-63.38853,August,11,0,0,0,0,0,2,0,0,0,0,0,0,-63.38853,8
Lake of Shining Waters,2009,46.49338,-63.38592,August,11,6,0,14,110,0,1,0,0,0,0,0,0,-63.38592,8
Lake of Shining Waters,2009,46.49338,-63.38592,August,11,0,0,0,0,0,18,0,0,0,0,0,0,-63.38592,8
Lake of Shining Waters,2009,46.49293,-63.38541,August,11,2,0,3,24,0,0,1,0,0,0,0,0,-63.38541,8
Lake of Shining Waters,2009,46.49293,-63.38541,August,11,0,0,0,0,0,18,0,0,0,0,0,0,-63.38541,8
Lake of Shining Waters,2009,46.49285,-63.38413,August,11,2,1,24,11,5,0,0,0,0,0,0,0,-63.38413,8
Lake of Shining Waters,2009,46.49285,-63.38413,August,11,0,0,0,0,0,2,0,0,0,0,0,0,-63.38413,8
Lake of Shining Waters,2009,46.49781,-63.38838,August,12,0,0,0,0,0,0,0,0,0,0,0,0,-63.38838,8
Lake of Shining Waters,2009,46.49781,-63.38838,August,12,0,0,0,0,0,0,0,0,0,0,0,0,-63.38838,8
Lake of Shining Waters,2009,46.49713,-63.38818,August,12,0,1,0,88,1,0,0,0,0,0,0,0,-63.38818,8
Lake of Shining Waters,2009,46.49713,-63.38818,August,12,0,0,0,0,0,1,0,0,0,0,0,0,-63.38818,8
Lake of Shining Waters,2009,46.49558,-63.38704,August,12,3,1,0,252,0,0,0,0,0,0,0,0,-63.38704,8
Lake of Shining Waters,2009,46.49558,-63.38704,August,12,0,0,0,1,0,0,0,0,0,0,0,0,-63.38704,8
Lake of Shining Waters,2009,46.49515,-63.38608,August,12,5,0,0,119,0,0,0,0,0,0,0,0,-63.38608,8
Lake of Shining Waters,2009,46.49515,-63.38608,August,12,0,0,0,0,0,8,0,0,0,0,0,0,-63.38608,8
Lake of Shining Waters,2009,46.49636,-63.38956,August,12,0,1,3,4,0,0,0,0,0,0,0,0,-63.38956,8
Lake of Shining Waters,2009,46.49636,-63.38956,August,12,0,0,0,0,0,1,0,0,0,0,0,0,-63.38956,8
Lake of Shining Waters,2009,46.49495,-63.38853,August,12,1,1,0,1,0,0,0,0,0,0,0,0,-63.38853,8
Lake of Shining Waters,2009,46.49495,-63.38853,August,12,0,0,0,0,0,1,0,0,0,0,0,0,-63.38853,8
Lake of Shining Waters,2009,46.49338,-63.38592,August,12,0,0,3,79,5,0,0,0,0,0,0,0,-63.38592,8
Lake of Shining Waters,2009,46.49338,-63.38592,August,12,0,0,0,0,0,2,0,0,0,0,0,0,-63.38592,8
Lake of Shining Waters,2009,46.49293,-63.38541,August,12,1,0,0,0,2,0,0,0,0,0,0,0,-63.38541,8
Lake of Shining Waters,2009,46.49293,-63.38541,August,12,0,0,0,0,0,3,0,0,0,0,0,0,-63.38541,8
Lake of Shining Waters,2009,46.49285,-63.38413,August,12,0,0,3,40,1,0,1,0,0,0,0,0,-63.38413,8
Lake of Shining Waters,2009,46.49285,-63.38413,August,12,0,0,0,0,0,5,0,0,0,0,0,0,-63.38413,8
Dalvay Lake,2009,46.41524,-63.07107,August,17,0,1,0,105,0,0,0,0,0,0,0,0,-63.07107,8
Dalvay Lake,2009,46.41524,-63.07107,August,17,0,0,0,0,0,0,0,0,0,0,0,0,-63.07107,8
Dalvay Lake,2009,46.41473,-63.06981,August,17,0,0,0,182,0,0,0,0,0,0,0,0,-63.06981,8
Dalvay Lake,2009,46.41473,-63.06981,August,17,0,0,0,50,0,0,0,0,0,0,0,0,-63.06981,8
Dalvay Lake,2009,46.41123,-63.07181,August,17,0,0,0,0,0,0,0,0,0,0,0,0,-63.07181,8
Dalvay Lake,2009,46.41123,-63.07181,August,17,0,0,0,10,0,0,0,0,0,0,0,0,-63.07181,8
Dalvay Lake,2009,46.41106,-63.07257,August,17,0,2,0,118,0,0,0,0,0,0,0,0,-63.07257,8
Dalvay Lake,2009,46.41106,-63.07257,August,17,0,0,0,0,0,1,0,0,0,0,0,0,-63.07257,8
Dalvay Lake,2009,46.41178,-63.07463,August,17,0,0,0,317,0,0,0,0,0,0,0,0,-63.07463,8
Dalvay Lake,2009,46.41178,-63.07463,August,17,0,0,0,41,0,0,0,0,0,0,0,0,-63.07463,8
Dalvay Lake,2009,46.41245,-63.07667,August,17,0,0,0,117,0,0,0,0,0,0,0,0,-63.07667,8
