Ecosystem,Watershed,Site,Wetland Class,Year,Total Removed,Total Number of Stems,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,1994,1,,,
Wetland,Grahams Creek,Homestead Trail,Marsh,1995,2,33,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,1995,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,1995,7,722,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,1995,488,7317,,
Wetland,Grahams Creek,Homestead Trail,Marsh,1996,15,598,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,1996,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,1996,2,44,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,1996,597,9932,,
Wetland,Grahams Creek,Homestead Trail,Marsh,1997,0,0,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,1997,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,1997,13,172,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,1997,381,6851,,
Wetland,Grahams Creek,Homestead Trail,Marsh,1998,14,282,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,1998,11,204,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,1998,810,8477,,
Wetland,Grahams Creek,Homestead Trail,Marsh,1999,,,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,1999,,,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,1999,,,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2000,,,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2000,,,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2000,,,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2001,1,266,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2001,8,150,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2001,1,1,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2001,132,2338,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2002,11,205,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2002,2,6,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2002,,,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2002,316,2607,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2002,1,9,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2003,8,137,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2003,,,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2003,153,1847,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2004,8,92,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2004,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2004,25,206,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2004,139,733,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2004,0,0,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2005,19,240,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2005,1,4,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2005,23,110,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2005,293,788,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2005,7,89,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2006,15,127,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2006,1,7,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2006,26,99,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2006,183,306,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2006,5,64,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2007,5,110,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2007,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2007,63,297,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2007,145,298,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2007,20,149,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2008,11,234,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2008,1,14,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2008,38,310,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2008,175,405,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2008,1,22,,
