Common name,Count,Year,Month,Day,Location,Month as a number
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,2,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,6,2009,Aug,4,Bells Pond,8
Meadowhawk,2,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,3,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,5,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,2,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,18,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,4,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,6,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,2,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,4,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,2,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,4,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,4,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,11,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Meadowhawk,1,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,1,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Autumn Meadowhawk,1,2009,Aug,4,Bells Pond,8
Lance-tipped Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,10,2009,Aug,4,Bells Pond,8
Spiny Baskettail,1,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Variable Darner,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,4,2009,Aug,4,Bells Pond,8
Variable Darner,2,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,6,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,3,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Variable Darner,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,1,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,2,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,5,2009,Aug,4,Bells Pond,8
Damselfly,1,2009,Aug,4,Bells Pond,8
Lance-tipped Darner,1,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,4,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Meadowhawk,1,2009,Aug,4,Bells Pond,8
Saffron-winged Meadowhawk,3,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,12,2009,Aug,4,Bells Pond,8
Band-winged Meadowhawk,1,2009,Aug,4,Bells Pond,8
Variable Darner,4,2009,Aug,4,Bells Pond,8
White-faced Meadowhawk,9,2009,Aug,4,Bells Pond,8
Meadowhawk,1,2009,Aug,4,Bells Pond,8
