Place,2001_Visitors,2002_Visitors,2003_Visitors,2004_Visitors,2005_Visitors,2006_Visitors,2007_Visitors,2008_Visitors,2009_Visitors,2010_Visitors,2011_Visitors,2012_Visitors,2013_Visitors,2014_Visitors,2015_Visitors,2016_Visitors,2017_Visitors,2018_Visitors
Gros Morne National Park,118071,118071,118071,157830,156020,156776,159138,134292,173970,186798,180523,182392,192591,183616,207075,244292,238540,233198
Terra Nova National Park,248746,254709,262740,259079,259079,259079,259079,259079,259079,259079,259079,259079,259079,259079,33978,39732,46668,43851
Prince Edward Island National Park,927625,935904,872909,887471,830512,701597,701597,405103,400554,457948,463652,500227,474054,486906,530247,530247,695025,746521
Cape Breton Highlands National Park,366617,404239,396033,322259,311229,340207,298131,184922,193000,193000,179982,164098,198997,212129,246312,302827,333746,295456
Kejimkujik National Park and Historic Site,66472,61668,56763,48929,46632,40813,43903,40668,37825,39755,38303,32290,30897,34401,36090,36090,60649,78806
Fundy National Park,320414,335058,316437,288579,272350,258876,249860,255456,285034,285572,258168,240481,223814,244755,281289,327500,368965,291658
Kouchibouguac National Park,242388,235864,220447,227105,202515,213454,167174,146736,162805,162804,156433,157937,154665,160837,159398,169262,188185,243284
Forillon National Park,164417,159938,150063,143505,145820,135681,137070,127269,141831,141575,126066,115981,119329,122840,145678,155027,173880,164945
La Mauricie National Park,196786,188389,173075,184083,163306,151223,149521,138591,142180,160179,155105,162119,156771,171934,181296,217252,338530,161576
Mingan Archipelago National Park Reserve,31874,34825,34339,32535,30000,29172,28862,24500,34874,35024,33897,32744,30675,32936,32330,34307,39039,38743
Saguenay-St. Lawrence Marine Park,442182,451520,432876,438117,1062178,1065687,1089459,1075769,1097932,1142664,1050426,1129807,1139641,1119387,1131712,1143276,1185322,1235027
Bruce Peninsula National Park,212457,212457,208860,167391,186899,183017,200593,198377,220694,224149,244139,251825,283831,283703,320287,412623,428988,362313
Fathom Five National Marine Park,435794,435794,365791,360858,380090,407965,370733,233532,249850,238474,242949,244231,235944,242533,281587,342605,419211,381722
Georgian Bay Islands National Park,53498,41529,33550,41886,41403,37727,48788,46757,46565,36424,42766,38790,35405,32887,32887,42511,44010,41521
