Plot Identification,Date (D/M/Y),Park Name,Access (Trail Name),Species Present in Area,Total Cover Along transect,Percent Cover Per Species (%),Latitude,Distance_Between_Transects_in_Metres,Longitude,Location ID
ECZ 1,18/07/2016,Yoho,Centennial Tr,Ranunculus acris,0.15%,0.15%,51.43968091,2500,-116.3034784,1
ECZ 15,11/08/2016,Yoho,Celeste Lake,Ranunculus acris,0.15%,0.15%,51.22140341,2500,-116.5902627,2
ECZ 22,26/07/2016,Yoho,Mount Hunter,Ranunculus acris,0.15%,0.15%,51.34433195,2500,-116.3332961,3
ECZ 23,28/08/2016,Yoho,All Soul's - Lake O'Hara,Ranunculus acris,0.15%,0.15%,51.52935041,2500,-116.5017007,4
ECZ 28,26/08/2016,Yoho,Mount Hunter,Ranunculus acris,0.15%,0.15%,51.44341458,2500,-116.5388246,5
ECZ 30,18/07/2016,Yoho,Emerald Lake,Ranunculus acris,0.15%,0.15%,51.43444929,2500,-116.3299998,6
EPZ 1,27/07/2016,Yoho,"Lake O'Hara, Morning Glory Lakes",Ranunculus acris,0.15%,0.15%,51.34184628,2500,-116.358371,7
EPZ 7,27/07/2016,Yoho,Lake O'Hara - MacArthur Pass Trail,Ranunculus acris,0.15%,0.15%,51.34921775,2500,-116.3306836,8
EPZ 9,27/07/2016,Yoho,Lake O'Hara - Opabin Lake Trail,Ranunculus acris,0.15%,0.15%,51.34222054,2500,-116.3577484,9
EPZ 16,27/07/2016,Yoho,Lake O'Hara - MacArthur Pass Trail,Ranunculus acris,0.15%,0.15%,51.34317512,2500,-116.3580079,10
EPZ 17,27/07/2016,Yoho,Lake O'Hara - MacArthur Pass Trail,Ranunculus acris,0.15%,0.15%,51.36025464,2500,-116.3408353,11
EPZ 21,27/07/2016,Yoho,Lake O'Hara on Lake Loop Trail,Ranunculus acris,0.15%,0.15%,51.34164152,2500,-116.3587472,12
EPZ 22,27/07/2016,Yoho,"Lake O'Hara, McArthur Pass Trail",Ranunculus acris,0.15%,0.15%,51.34433195,2500,-116.3332961,13
EPZ 23,28/07/2016,Yoho,"Lake O'Hara, All Souls Alpine Route",Ranunculus acris,0.15%,0.15%,51.34750635,2500,-116.3412767,14
EPZ 33,28/07/2016,Yoho,"Lake O'Hara, All Souls Alpine Route",Ranunculus acris,0.15%,0.15%,51.34931091,2500,-116.3203147,15
EPZ 34,28/07/2016,Yoho,"Lake O'Hara,Yukness Alpine Route",Ranunculus acris,0.15%,0.15%,51.48949788,2500,-116.4951784,16
EPZ 39,27/07/2016,Yoho,Lake O'Hara - Opabin Lake Trail,Ranunculus acris,0.15%,0.15%,51.35359379,2500,-116.3574315,17
EPZ 40,27/07/2016,Yoho,"Lake O'Hara, Opabin Alpine Route",Ranunculus acris,0.15%,0.15%,51.3712013,2500,-116.3947816,18
EPZ 41,27/07/2016,Yoho,"Lake O'Hara, Cathedral Lake",Ranunculus acris,0.15%,0.15%,51.43140975,2500,-116.3996542,19
ICZ 6,13/07/2016,Yoho,Spiral Tunnel,Taraxacum officinale,7.45%,29.80%,51.43076484,2500,-116.4072148,20
