Protected_Heritage_Area,Field_Unit,Program,Agency,2019_Jan,2019_Feburary,2019_March,2019_April,2019_May,2019_June,2019_July,2019_August,2019_September,2019_October,2019_November,2019_December,2020_Jan,2020_Feburary,2020_March,2020_April,2020_May,2020_June,2020_July,2020_August,2020_September,2020_October,2020_November,2020_December,2021_Jan,2021_Feburary,2021_March,2021_April,2021_May,2021_June,2021_July,2021_August,2021_September,2021_October,2021_November,2021_December,2022_Jan,2022_Feburary,2022_March,2022_April,2022_May,2022_June,2022_July,2022_August,2022_September,2022_October,2022_November,2022_December,2023_Jan,2023_Feburary,2023_March,2023_April,2023_May,2023_June,2023_July,2023_August,2023_September,2023_October,2023_November,2023_December,,,,,,,,,
Terra Nova,NEWFOUNDLAND EAST,National Park,Parks Canada Agency,CL,"1,464",6484,13775,14770,5550,2360,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,158,3240,6093,2497,722,CL,CL,CL,CL,CL,CL,"1,050",2819,7635,8784,3805,604,CL,CL,CL,CL,CL,CL,"2,601",7967,14505,13142,5514,"1,462",CL,CL,CL,CL,CL,CL,"2,705",5328,10762,9668,4275,1842,CL,CL,,,,,,,,,
Gros Morne,NEWFOUNDLAND WEST,National Park,Parks Canada Agency,CL,CL,41789,61815,60452,41332,32683,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"2,203",9770,23033,28290,"24,937",CL,CL,CL,CL,CL,CL,CL,,,,,N/A,CL,CL,CL,CL,CL,NR,NR,,,,,NR,NR,NR,NR,NR,NR,CL,UR,,,,,,CL,CL,,,,,,,,,
Prince Edward Island,PRINCE EDWARD ISLAND,National Park,Parks Canada Agency,"27,284","41,130",101029,195263,200782,103939,25044,"16,601","13,199",NULL,NULL,NULL,"12,448","12,588","6,936",CL,CL,"89,555",115702,134058,75798,CL,CL,CL,CL,CL,CL,NA,NA,83407,127265,199544,103956,N/A,N/A,N/A,N/A,N/A,N/A,NR,NR,,,,,NR,NR,NR,NR,NR,NR,CL,"45,152",97819,173158,158852,99328,59294,CL,CL,,,,,,,,,
Cape Breton Highlands,CAPE BRETON,National Park,Parks Canada Agency,CL,"17,031",48104,79123,87171,41375,28102,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"16,694",25539,32169,15455,"22,360",CL,CL,CL,CL,CL,CL,"2,747",28217,31341,55032,35145,"32,186",CL,CL,CL,CL,CL,CL,"16,463",49569,75011,79600,36338,"20,222",CL,CL,CL,CL,CL,CL,"18,055",43384,71079,65359,42785,21840,CL,CL,,,,,,,,,
Kejimkujik,MAINLAND NOVA SCOTIA,National Park,Parks Canada Agency,CL,"2,345",11068,19750,21826,7673,8094,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"3,327",6104,7159,4702,"5,241",CL,CL,CL,CL,CL,CL,"1,871",10269,16616,18339,11916,"9,773",CL,CL,CL,CL,CL,CL,"3,682",11405,19280,19652,11718,"9,547",CL,CL,CL,CL,CL,CL,"4,459",10031,18530,18840,11505,9264,CL,CL,,,,,,,,,
Sable Island,MAINLAND NOVA SCOTIA,National Park,Parks Canada Agency,CL,5,17,247,87,13,25,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,CL,14,7,32,19,CL,CL,CL,CL,CL,CL,CL,28,35,43,44,55,CL,CL,CL,CL,CL,CL,28,489,98,76,45,70,CL,CL,CL,CL,CL,CL,0,53,96,88,66,54,CL,CL,,,,,,,,,
Fundy,SOUTHERN NEW BRUNSWICK,National Park,Parks Canada Agency,CL,"34,200",43862,77475,78691,34658,28061,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"25,593",47653,56483,33435,"21,456",CL,CL,CL,CL,CL,CL,"27,536",35918,63469,77270,41137,"31,408",CL,CL,CL,CL,CL,"18,853","27,503",38978,75819,74332,44120,"23,970",CL,CL,CL,CL,CL,CL,"27,379",35437,72303,69494,41106,25792,CL,CL,,,,,,,,,
Kouchibouguac,NORTHERN NEW BRUNSWICK,National Park,Parks Canada Agency,"6,327","12,854",32530,49545,49675,32807,17008,"11,598","7,796",NULL,NULL,NULL,"6,270","8,786","3,761",CL,CL,"29,451",35525,39844,24922,"9,714","4,106","3,556","4,280","4,243","5,304","6,311","18,178",29656,41546,45917,27845,"15,565","11,682","10,311","10,770","9,720","9,759","9,951","19,137",30344,42068,43084,30045,"16,722","10,145","9,855","10,582","10,060","11,496","11,878","20,704",30435,43675,41398,30563,17497,"10,331","12,218",,,,,,,,,
Mingan Archipelago Reserve,MINGAN,National Park,Parks Canada Agency,CL,"1,285",6293,18568,12009,2855,371,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"4,092",17537,16471,3389,340,CL,CL,CL,CL,CL,CL,"1,210",8302,25376,19886,3837,371,CL,CL,CL,CL,CL,CL,"1,312",7404,17549,13579,3171,"1,002",CL,CL,CL,CL,CL,CL,"1,227",5959,15691,13121,2691,964,CL,CL,,,,,,,,,
Forillon,GASPÉSIE,National Park,Parks Canada Agency,CL,"8,636",14938,55720,65950,15653,8928,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"8,963",49939,64487,18079,"5,028",CL,CL,CL,CL,CL,CL,"9,789",16353,61076,69973,18796,"5,276",CL,CL,CL,CL,CL,CL,"8,845",14194,52343,66152,16571,"6,025",CL,CL,CL,CL,CL,CL,"9,550",13152,52402,59984,19903,6922,CL,CL,,,,,,,,,
